index: 0, Loc: 14:93:82, Loc(sectors): 70057, Loc(File Offset): 142555136, len(sectors): 13312, len(bytes): 27262976
index: 1, Loc: 00:06:12, Loc(sectors): 462, Loc(File Offset): 24576, len(sectors): 63, len(bytes): 129024
index: 2, Loc: 00:07:00, Loc(sectors): 525, Loc(File Offset): 153600, len(sectors): 5, len(bytes): 10240
index: 3, Loc: 00:00:00, Loc(sectors): 0, Loc(File Offset): 0, len(sectors): 0, len(bytes): 0
index: 4, Loc: 00:00:00, Loc(sectors): 0, Loc(File Offset): 0, len(sectors): 0, len(bytes): 0
index: 5, Loc: 00:00:00, Loc(sectors): 0, Loc(File Offset): 0, len(sectors): 0, len(bytes): 0
index: 6, Loc: 00:07:05, Loc(sectors): 530, Loc(File Offset): 163840, len(sectors): 1, len(bytes): 2048
index: 7, Loc: 00:00:00, Loc(sectors): 0, Loc(File Offset): 0, len(sectors): 0, len(bytes): 0
index: 8, Loc: 00:07:06, Loc(sectors): 531, Loc(File Offset): 165888, len(sectors): 32, len(bytes): 65536
index: 9, Loc: 00:07:38, Loc(sectors): 563, Loc(File Offset): 231424, len(sectors): 3, len(bytes): 6144
index: 10, Loc: 00:07:41, Loc(sectors): 566, Loc(File Offset): 237568, len(sectors): 4, len(bytes): 8192
index: 11, Loc: 00:07:45, Loc(sectors): 570, Loc(File Offset): 245760, len(sectors): 70, len(bytes): 143360
index: 12, Loc: 00:08:40, Loc(sectors): 640, Loc(File Offset): 389120, len(sectors): 149, len(bytes): 305152
index: 13, Loc: 00:10:39, Loc(sectors): 789, Loc(File Offset): 694272, len(sectors): 28, len(bytes): 57344
index: 14, Loc: 00:10:67, Loc(sectors): 817, Loc(File Offset): 751616, len(sectors): 18, len(bytes): 36864
index: 15, Loc: 00:11:10, Loc(sectors): 835, Loc(File Offset): 788480, len(sectors): 18, len(bytes): 36864
index: 16, Loc: 00:11:28, Loc(sectors): 853, Loc(File Offset): 825344, len(sectors): 44, len(bytes): 90112
index: 17, Loc: 00:11:72, Loc(sectors): 897, Loc(File Offset): 915456, len(sectors): 26, len(bytes): 53248
index: 18, Loc: 00:12:23, Loc(sectors): 923, Loc(File Offset): 968704, len(sectors): 167, len(bytes): 342016
index: 19, Loc: 00:14:40, Loc(sectors): 1090, Loc(File Offset): 1310720, len(sectors): 138, len(bytes): 282624
index: 20, Loc: 00:16:28, Loc(sectors): 1228, Loc(File Offset): 1593344, len(sectors): 143, len(bytes): 292864
index: 21, Loc: 00:18:21, Loc(sectors): 1371, Loc(File Offset): 1886208, len(sectors): 1, len(bytes): 2048
index: 22, Loc: 00:18:22, Loc(sectors): 1372, Loc(File Offset): 1888256, len(sectors): 5, len(bytes): 10240
index: 23, Loc: 00:18:27, Loc(sectors): 1377, Loc(File Offset): 1898496, len(sectors): 4, len(bytes): 8192
index: 24, Loc: 00:18:31, Loc(sectors): 1381, Loc(File Offset): 1906688, len(sectors): 3, len(bytes): 6144
index: 25, Loc: 00:18:34, Loc(sectors): 1384, Loc(File Offset): 1912832, len(sectors): 4, len(bytes): 8192
index: 26, Loc: 00:18:38, Loc(sectors): 1388, Loc(File Offset): 1921024, len(sectors): 3, len(bytes): 6144
index: 27, Loc: 00:18:41, Loc(sectors): 1391, Loc(File Offset): 1927168, len(sectors): 4, len(bytes): 8192
index: 28, Loc: 00:18:45, Loc(sectors): 1395, Loc(File Offset): 1935360, len(sectors): 2, len(bytes): 4096
index: 29, Loc: 00:18:47, Loc(sectors): 1397, Loc(File Offset): 1939456, len(sectors): 5, len(bytes): 10240
index: 30, Loc: 00:18:52, Loc(sectors): 1402, Loc(File Offset): 1949696, len(sectors): 5, len(bytes): 10240
index: 31, Loc: 00:18:57, Loc(sectors): 1407, Loc(File Offset): 1959936, len(sectors): 5, len(bytes): 10240
index: 32, Loc: 00:18:62, Loc(sectors): 1412, Loc(File Offset): 1970176, len(sectors): 6, len(bytes): 12288
index: 33, Loc: 00:18:68, Loc(sectors): 1418, Loc(File Offset): 1982464, len(sectors): 5, len(bytes): 10240
index: 34, Loc: 00:18:73, Loc(sectors): 1423, Loc(File Offset): 1992704, len(sectors): 5, len(bytes): 10240
index: 35, Loc: 00:19:03, Loc(sectors): 1428, Loc(File Offset): 2002944, len(sectors): 3, len(bytes): 6144
index: 36, Loc: 00:19:06, Loc(sectors): 1431, Loc(File Offset): 2009088, len(sectors): 3, len(bytes): 6144
index: 37, Loc: 00:19:09, Loc(sectors): 1434, Loc(File Offset): 2015232, len(sectors): 3, len(bytes): 6144
index: 38, Loc: 00:19:12, Loc(sectors): 1437, Loc(File Offset): 2021376, len(sectors): 5, len(bytes): 10240
index: 39, Loc: 00:19:17, Loc(sectors): 1442, Loc(File Offset): 2031616, len(sectors): 3, len(bytes): 6144
index: 40, Loc: 00:19:20, Loc(sectors): 1445, Loc(File Offset): 2037760, len(sectors): 5, len(bytes): 10240
index: 41, Loc: 00:19:25, Loc(sectors): 1450, Loc(File Offset): 2048000, len(sectors): 3, len(bytes): 6144
index: 42, Loc: 00:19:28, Loc(sectors): 1453, Loc(File Offset): 2054144, len(sectors): 5, len(bytes): 10240
index: 43, Loc: 00:19:33, Loc(sectors): 1458, Loc(File Offset): 2064384, len(sectors): 3, len(bytes): 6144
index: 44, Loc: 00:19:36, Loc(sectors): 1461, Loc(File Offset): 2070528, len(sectors): 3, len(bytes): 6144
index: 45, Loc: 00:19:39, Loc(sectors): 1464, Loc(File Offset): 2076672, len(sectors): 3, len(bytes): 6144
index: 46, Loc: 00:19:42, Loc(sectors): 1467, Loc(File Offset): 2082816, len(sectors): 4, len(bytes): 8192
index: 47, Loc: 00:19:46, Loc(sectors): 1471, Loc(File Offset): 2091008, len(sectors): 5, len(bytes): 10240
index: 48, Loc: 00:19:51, Loc(sectors): 1476, Loc(File Offset): 2101248, len(sectors): 4, len(bytes): 8192
index: 49, Loc: 00:19:55, Loc(sectors): 1480, Loc(File Offset): 2109440, len(sectors): 4, len(bytes): 8192
index: 50, Loc: 00:19:59, Loc(sectors): 1484, Loc(File Offset): 2117632, len(sectors): 5, len(bytes): 10240
index: 51, Loc: 00:19:64, Loc(sectors): 1489, Loc(File Offset): 2127872, len(sectors): 6, len(bytes): 12288
index: 52, Loc: 00:19:70, Loc(sectors): 1495, Loc(File Offset): 2140160, len(sectors): 5, len(bytes): 10240
index: 53, Loc: 00:20:00, Loc(sectors): 1500, Loc(File Offset): 2150400, len(sectors): 4, len(bytes): 8192
index: 54, Loc: 00:20:04, Loc(sectors): 1504, Loc(File Offset): 2158592, len(sectors): 2, len(bytes): 4096
index: 55, Loc: 00:20:06, Loc(sectors): 1506, Loc(File Offset): 2162688, len(sectors): 7, len(bytes): 14336
index: 56, Loc: 00:20:13, Loc(sectors): 1513, Loc(File Offset): 2177024, len(sectors): 3, len(bytes): 6144
index: 57, Loc: 00:20:16, Loc(sectors): 1516, Loc(File Offset): 2183168, len(sectors): 2, len(bytes): 4096
index: 58, Loc: 00:20:18, Loc(sectors): 1518, Loc(File Offset): 2187264, len(sectors): 4, len(bytes): 8192
index: 59, Loc: 00:20:22, Loc(sectors): 1522, Loc(File Offset): 2195456, len(sectors): 3, len(bytes): 6144
index: 60, Loc: 00:20:25, Loc(sectors): 1525, Loc(File Offset): 2201600, len(sectors): 3, len(bytes): 6144
index: 61, Loc: 00:20:28, Loc(sectors): 1528, Loc(File Offset): 2207744, len(sectors): 3, len(bytes): 6144
index: 62, Loc: 00:20:31, Loc(sectors): 1531, Loc(File Offset): 2213888, len(sectors): 6, len(bytes): 12288
index: 63, Loc: 00:20:37, Loc(sectors): 1537, Loc(File Offset): 2226176, len(sectors): 3, len(bytes): 6144
index: 64, Loc: 00:20:40, Loc(sectors): 1540, Loc(File Offset): 2232320, len(sectors): 6, len(bytes): 12288
index: 65, Loc: 00:20:46, Loc(sectors): 1546, Loc(File Offset): 2244608, len(sectors): 4, len(bytes): 8192
index: 66, Loc: 00:20:50, Loc(sectors): 1550, Loc(File Offset): 2252800, len(sectors): 4, len(bytes): 8192
index: 67, Loc: 00:20:54, Loc(sectors): 1554, Loc(File Offset): 2260992, len(sectors): 4, len(bytes): 8192
index: 68, Loc: 00:20:58, Loc(sectors): 1558, Loc(File Offset): 2269184, len(sectors): 3, len(bytes): 6144
index: 69, Loc: 00:20:61, Loc(sectors): 1561, Loc(File Offset): 2275328, len(sectors): 6, len(bytes): 12288
index: 70, Loc: 00:20:67, Loc(sectors): 1567, Loc(File Offset): 2287616, len(sectors): 4, len(bytes): 8192
index: 71, Loc: 00:20:71, Loc(sectors): 1571, Loc(File Offset): 2295808, len(sectors): 5, len(bytes): 10240
index: 72, Loc: 00:21:01, Loc(sectors): 1576, Loc(File Offset): 2306048, len(sectors): 4, len(bytes): 8192
index: 73, Loc: 00:21:05, Loc(sectors): 1580, Loc(File Offset): 2314240, len(sectors): 6, len(bytes): 12288
index: 74, Loc: 00:21:11, Loc(sectors): 1586, Loc(File Offset): 2326528, len(sectors): 5, len(bytes): 10240
